1.html 239 "$300_off_move_in_costs!!_Immediate_Move_in_available!" http://bloomington.craigslist.org/apa/5839062999.html
2.html 195 "Jamestown_Square_Apartments_of_Vincennes-One_bedroom_Apartment" http://bloomington.craigslist.org/apa/5839050860.html
3.html 169 "Cozy,_one-bedroom_apartment_in_Vincennes" http://bloomington.craigslist.org/apa/5839050459.html
4.html 172 "Spacious,_1-bedroom_apartment_for_those_50_and_older!" http://bloomington.craigslist.org/apa/5839050115.html
5.html 278 "Garbage_Disposal,_Breakfast_Bar,_Large_Walk-In_Closets,_Extra_Parking" http://bloomington.craigslist.org/apa/5839034715.html
6.html 370 "Breakfast_Bar,_Dishwasher,_Vinyl_Flooring,_Basketball_Court,_Patio" http://bloomington.craigslist.org/apa/5839032836.html
7.html 262 "1_LEFT__-_2_BED_2_BATH_$750_PER_MONTH_-_DEC__MOVE_IN" http://bloomington.craigslist.org/apa/5827210751.html
8.html 421 "***BIGGEST&BEST/WHY_PAY_MORE_FOR_LESS?!***" http://bloomington.craigslist.org/apa/5827756369.html
9.html 146 "***CLOSE_TO_DOWTOWN/ON_BUS_ROUTE/BEST_PRICES!!***" http://bloomington.craigslist.org/apa/5838989183.html
10.html 204 "Great_location_Only_1.5_blocks_from_IU_campus!_3_large_bedrooms,_1_bat" http://bloomington.craigslist.org/apa/5838861700.html
11.html 222 "Nicely_remodeled_4_bed_2_bath" http://bloomington.craigslist.org/apa/5838803273.html
12.html 251 "Spacious_1_Bdrm._Available_NOW!_No_Deposit!" http://bloomington.craigslist.org/apa/5838770106.html
13.html 154 "Fall_2017_Close_to_Campus_3_bedrooms_on_114_S_Roosevelt_st" http://bloomington.craigslist.org/apa/5811737575.html
14.html 157 "Aug_2017_3_bedrooms_house_Across_from_the_education_school" http://bloomington.craigslist.org/apa/5811722350.html
15.html 151 "Aug_4_Br_House_near_campus__@_$550_\pers_for_Aug_2017" http://bloomington.craigslist.org/apa/5811700774.html
16.html 263 "Modern_2_Bed,_2_Bath_Apt_in_Lakeview_-_Available_Nov_1" http://bloomington.craigslist.org/apa/5838671351.html
17.html 185 "LAST_ONE!!_GREAT_LOCATION/_GREAT_PRICE!!" http://bloomington.craigslist.org/apa/5828078749.html
18.html 411 "Modern,_Cozy_cottage-style_apt_w/_Vaulted_Ceilings" http://bloomington.craigslist.org/apa/5838639140.html
19.html 224 "***LARGE_2BR/GREAT_LOCATION/2_SKYLIGHTS!/GREAT_VALUE***" http://bloomington.craigslist.org/apa/5838643821.html
20.html 366 "Spacious_Luxury_Paired_Home_w/_Oversized_2-car_garage" http://bloomington.craigslist.org/apa/5838650563.html
21.html 344 "Large_Stand-Alone_Home_with_2-car_Garage" http://bloomington.craigslist.org/apa/5838647764.html
22.html 213 "NICE_LARGE_CONDO/ACROSS_FROM_PARK/ON_BUS_ROUTE/BEST_PRICES!!" http://bloomington.craigslist.org/apa/5829910853.html
23.html 373 "Unique_Loft-Style_Apartment_on_the_South_Side" http://bloomington.craigslist.org/apa/5838645268.html
24.html 399 "Open_&_Spacious_Layout_--_Exciting_Master_Suite" http://bloomington.craigslist.org/apa/5838631088.html
25.html 271 "Affordable_Ground_Level_Apt_on_Southside" http://bloomington.craigslist.org/apa/5838626311.html
26.html 279 "Affordable_&_Private_Southside_Apartment" http://bloomington.craigslist.org/apa/5838622281.html
27.html 300 "Spacious_&_Affordable_in_Quiet_South_side_location" http://bloomington.craigslist.org/apa/5838621825.html
28.html 198 "2_bed,_2.5_bath_apartment_available" http://bloomington.craigslist.org/apa/5838585198.html
29.html 127 "The_vicinity_is_very_safe_and_is_recommended_for_a_family._Marvelous_h" http://bloomington.craigslist.org/apa/5838502723.html
30.html 193 "Fabulous_4_bedrooms_2_baths._Pet_friendly" http://bloomington.craigslist.org/apa/5799436294.html
31.html 248 "6_month_lease_-_at_Steeplechase_Apartments_-_1_Bed/1_Bath" http://bloomington.craigslist.org/apa/5838500501.html
32.html 233 "***LARGE_4BR/3BTH/CLOSE_TO_BLOOMINGTON,CRANE,BEDFORD***D" http://bloomington.craigslist.org/apa/5838334495.html
33.html 142 "Monthly_Rent_Goes_Toward_Owning." http://bloomington.craigslist.org/apa/5833508864.html
34.html 295 "***_4_Bedroom_for_Fall_2017****_Early_Bird_rate***" http://bloomington.craigslist.org/apa/5799829870.html
35.html 286 "2_BED_2_BATH_NOV_M/I_JUST_$750_PER_MON_-_3_MILES_SOUTH_OF_SQUARE" http://bloomington.craigslist.org/apa/5792141261.html
36.html 293 "***_3_Bedroom_Townhome**_Fall_2017_**_Large_dogs_Welcome***" http://bloomington.craigslist.org/apa/5799829516.html
37.html 274 "****3_Bedroom_with_a_den_-_Fall_2017**_Large_dogs_accepted" http://bloomington.craigslist.org/apa/5834620304.html
38.html 267 "***3_Bedroom_3_1/2_Bath_Townhome-_NO_application_Fee***" http://bloomington.craigslist.org/apa/5834822672.html
39.html 202 "Some_Utilities_Included,_Wooded_Views,_Comfort_and_Convenience" http://bloomington.craigslist.org/apa/5838244379.html
40.html 165 "Apartment_for_rent" http://bloomington.craigslist.org/apa/5826439359.html
41.html 146 "***CLOSE_TO_DOWTOWN/ON_BUS_ROUTE/BEST_PRICES!!***" http://bloomington.craigslist.org/apa/5813120038.html
42.html 485 "Deposit_Special!_Move_in_Ready!" http://bloomington.craigslist.org/apa/5838248744.html
43.html 215 "1_Bedroom_x_1_Bathroom_Unit_In_Bloomington!!_$600_Per_Mo" http://bloomington.craigslist.org/apa/5838043559.html
44.html 392 "1_BR_Luxury_Apartment-Forest_Ridge_(Sublease)_with_Den" http://bloomington.craigslist.org/apa/5827202810.html
45.html 207 "**LEASE_PENDING**_AUG_2017/18_NEAR_IU_Campus_and_Bryan_Park" http://bloomington.craigslist.org/apa/5816142589.html
46.html 192 "Avail_Aug_2017-2018_Centrally_Located_To_Downtown_&_Campus" http://bloomington.craigslist.org/apa/5834366717.html
47.html 208 "AVAIL_AUG_2017-2018-_GREAT_LOCATION!_NEAR_DOWNTOWN_&_CAMPUS" http://bloomington.craigslist.org/apa/5810772785.html
48.html 205 "3_Bedroom_-_Available_NOW_-_Great_Location_near_campus" http://bloomington.craigslist.org/apa/5792380844.html
49.html 187 "AVAIL_AUG_2017/18_-_AMAZING_LOCATION-_BLOCKS_FROM_CAMPUS_&_DOWNTOWN!" http://bloomington.craigslist.org/apa/5794215311.html
50.html 201 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus" http://bloomington.craigslist.org/apa/5794278622.html
51.html 195 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus" http://bloomington.craigslist.org/apa/5794378819.html
